metric,objective,cost_aware,config,mem,batch,tp,fusion,network,category,value
Energy,energy,False,Full Fengshui,1,1,1,1,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.26928802223493836
Energy,energy,False,Full Fengshui,1,1,1,1,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.0815289696900403
Energy,energy,False,Full Fengshui,1,1,1,1,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.002200653022007134
Energy,energy,False,Full Fengshui,1,1,1,1,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.01695788498679726
Energy,energy,False,Full Fengshui,1,1,1,1,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.0217680357602186
Energy,energy,False,Full Fengshui,1,1,1,1,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.109638179014542
Energy,energy,False,Full Fengshui,1,1,1,1,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006450207860713182
Energy,energy,False,Full Fengshui,1,1,1,1,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.05159733233426734
Energy,energy,False,Full Fengshui,1,1,1,1,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.03990129839927497
Energy,energy,False,Full Fengshui,1,1,1,1,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.31151272596457763
Energy,energy,False,Full Fengshui,1,1,1,1,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.003727677565918374
Energy,energy,False,Full Fengshui,1,1,1,1,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.023072215808397183
Energy,energy,False,Full Fengshui,1,1,1,1,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.13029594006430403
Energy,energy,False,Full Fengshui,1,1,1,1,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.0126256594556955
Energy,energy,False,Full Fengshui,1,1,1,1,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.010710895331371574
Energy,energy,False,Full Fengshui,1,1,1,1,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.08308161766913773
Energy,energy,False,Full Fengshui,1,1,1,1,mobilenet_v3_small_b1_seq1,cnn,4.898774773385527e-05
Energy,energy,False,Full Fengshui,1,1,1,1,mobilenet_v3_small_b8_seq1,cnn,0.0003716671446383544
Energy,energy,False,Full Fengshui,1,1,1,1,replknet31b_b1_seq1,cnn,0.0027206970617051503
Energy,energy,False,Full Fengshui,1,1,1,1,replknet31b_b8_seq1,cnn,0.020354624167141525
Energy,energy,False,w/o Mem,0,1,1,1,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.28304990100675415
Energy,energy,False,w/o Mem,0,1,1,1,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.1512744201816547
Energy,energy,False,w/o Mem,0,1,1,1,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.002200653022007134
Energy,energy,False,w/o Mem,0,1,1,1,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.017309698162689017
Energy,energy,False,w/o Mem,0,1,1,1,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.085947556962187
Energy,energy,False,w/o Mem,0,1,1,1,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.318199889906829
Energy,energy,False,w/o Mem,0,1,1,1,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006450207860713182
Energy,energy,False,w/o Mem,0,1,1,1,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.05159733233426734
Energy,energy,False,w/o Mem,0,1,1,1,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.04410146849170692
Energy,energy,False,w/o Mem,0,1,1,1,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.344565255209951
Energy,energy,False,w/o Mem,0,1,1,1,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.00504081351185243
Energy,energy,False,w/o Mem,0,1,1,1,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.029745128260169496
Energy,energy,False,w/o Mem,0,1,1,1,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.14248612898440735
Energy,energy,False,w/o Mem,0,1,1,1,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.0718216768442235
Energy,energy,False,w/o Mem,0,1,1,1,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.013866388471048433
Energy,energy,False,w/o Mem,0,1,1,1,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.11036812075828084
