metric,objective,cost_aware,framework,network,category,value
Energy,energy,False,SCAR-style,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.329851934588667
Energy,energy,False,SCAR-style,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.428401181842255
Energy,energy,False,SCAR-style,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.0202659457193619
Energy,energy,False,SCAR-style,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.027405238121274867
Energy,energy,False,SCAR-style,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.238007438140823
Energy,energy,False,SCAR-style,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.886576420482712
Energy,energy,False,SCAR-style,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.07918280078154935
Energy,energy,False,SCAR-style,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.10320840003428976
Energy,energy,False,SCAR-style,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill-MoE,0.05380986922749137
Energy,energy,False,SCAR-style,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill-MoE,0.40323290636846637
Energy,energy,False,SCAR-style,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode-MoE,0.005716574538088672
Energy,energy,False,SCAR-style,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode-MoE,0.046990142696875875
Energy,energy,False,SCAR-style,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill-MoE,0.17921957437503622
Energy,energy,False,SCAR-style,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill-MoE,1.283526457414159
Energy,energy,False,SCAR-style,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode-MoE,0.02124716833011608
Energy,energy,False,SCAR-style,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode-MoE,0.1776108682860328
Energy,energy,False,SCAR-style,mobilenet_v3_small_b1_seq1,cnn,8.36995560768851e-05
Energy,energy,False,SCAR-style,mobilenet_v3_small_b8_seq1,cnn,0.00040929764222607016
Energy,energy,False,SCAR-style,replknet31b_b1_seq1,cnn,0.0029392459619409653
Energy,energy,False,SCAR-style,replknet31b_b8_seq1,cnn,0.021859390743067995
Energy,energy,False,Gemini-style,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.31913024284386154
Energy,energy,False,Gemini-style,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.850340536229723
Energy,energy,False,Gemini-style,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.023669106328381557
Energy,energy,False,Gemini-style,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.03244877476198599
Energy,energy,False,Gemini-style,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.3253436737666364
Energy,energy,False,Gemini-style,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,10.150711902490615
Energy,energy,False,Gemini-style,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.09289164235642978
Energy,energy,False,Gemini-style,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.12357894031106223
Energy,energy,False,Gemini-style,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill-MoE,0.052330520645183676
Energy,energy,False,Gemini-style,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill-MoE,0.4459342463390418
Energy,energy,False,Gemini-style,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode-MoE,0.006487972546425699
Energy,energy,False,Gemini-style,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode-MoE,0.060314627681452224
Energy,energy,False,Gemini-style,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill-MoE,0.17409109818706822
Energy,energy,False,Gemini-style,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill-MoE,1.5790561429837815
Energy,energy,False,Gemini-style,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode-MoE,0.02435360288337199
Energy,energy,False,Gemini-style,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode-MoE,0.2309393680201314
Energy,energy,False,Gemini-style,mobilenet_v3_small_b1_seq1,cnn,5.451003393729833e-05
Energy,energy,False,Gemini-style,mobilenet_v3_small_b8_seq1,cnn,0.0004506937120289069
Energy,energy,False,Gemini-style,replknet31b_b1_seq1,cnn,0.003405587180649544
Energy,energy,False,Gemini-style,replknet31b_b8_seq1,cnn,0.03320847559008148
