metric,objective,cost_aware,config,network,category,value
Energy,energy,False,Full Fengshui,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.33264013279646193
Energy,energy,False,Full Fengshui,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.3413494464801152
Energy,energy,False,Full Fengshui,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.002224049987082776
Energy,energy,False,Full Fengshui,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.01835725425452371
Energy,energy,False,Full Fengshui,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.2403685408485237
Energy,energy,False,Full Fengshui,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.780731581887176
Energy,energy,False,Full Fengshui,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006434686232025822
Energy,energy,False,Full Fengshui,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.05289238802655947
Energy,energy,False,Full Fengshui,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.07156071128905983
Energy,energy,False,Full Fengshui,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.553854813974445
Energy,energy,False,Full Fengshui,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.009018554552331083
Energy,energy,False,Full Fengshui,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.0796956377974147
Energy,energy,False,Full Fengshui,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.21033416845455044
Energy,energy,False,Full Fengshui,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.599336899632733
Energy,energy,False,Full Fengshui,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.018919610189435578
Energy,energy,False,Full Fengshui,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.2992331824928576
Energy,energy,False,Full Fengshui,mobilenet_v3_small_b1_seq1,cnn,8.058165843368917e-05
Energy,energy,False,Full Fengshui,mobilenet_v3_small_b8_seq1,cnn,0.000540239222958497
Energy,energy,False,Full Fengshui,replknet31b_b1_seq1,cnn,0.0030578511097053497
Energy,energy,False,Full Fengshui,replknet31b_b8_seq1,cnn,0.021255834279141926
Energy,energy,False,w/o Heterogeneous Memory,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.33264013279646193
Energy,energy,False,w/o Heterogeneous Memory,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.3413494464801152
Energy,energy,False,w/o Heterogeneous Memory,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.05347343965209331
Energy,energy,False,w/o Heterogeneous Memory,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.063934420037637
Energy,energy,False,w/o Heterogeneous Memory,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.2403685408485237
Energy,energy,False,w/o Heterogeneous Memory,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.780731581887176
Energy,energy,False,w/o Heterogeneous Memory,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.20871294821929898
Energy,energy,False,w/o Heterogeneous Memory,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.23565576467352609
Energy,energy,False,w/o Heterogeneous Memory,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.07156071128905983
Energy,energy,False,w/o Heterogeneous Memory,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.553854813974445
Energy,energy,False,w/o Heterogeneous Memory,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.015621979549131611
Energy,energy,False,w/o Heterogeneous Memory,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.09273117348705748
Energy,energy,False,w/o Heterogeneous Memory,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.21033416845455044
Energy,energy,False,w/o Heterogeneous Memory,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.599336899632733
Energy,energy,False,w/o Heterogeneous Memory,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.057626378238830676
Energy,energy,False,w/o Heterogeneous Memory,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.33802635789666047
